nome de usuario;timestamp;cpu;ram;disco
Enrico;2025-08-22 13:05:40;8.1;54.7;91.7
Enrico;2025-08-22 13:06:00;0.6;54.9;91.7
Enrico;2025-08-22 13:06:20;0.6;54.6;91.7
Enrico;2025-08-22 13:06:40;1.2;54.5;91.7
Enrico;2025-08-22 13:07:00;0.6;54.7;91.7
Enrico;2025-08-22 13:07:20;0.7;54.5;91.7
Enrico;2025-08-22 13:07:40;0.8;54.5;91.7
Enrico;2025-08-22 13:08:00;0.8;54.6;91.7
Enrico;2025-08-22 13:08:20;0.7;54.7;91.7
Enrico;2025-08-22 13:08:40;0.4;54.4;91.7
Enrico;2025-08-22 13:09:00;0.7;54.6;91.7
Enrico;2025-08-22 13:09:20;0.7;54.7;91.7
Enrico;2025-08-22 13:10:25;12.2;55.0;91.7
Enrico;2025-08-22 13:10:45;3.7;55.1;91.7
Enrico;2025-08-22 13:11:05;3.4;55.1;91.7
Enrico;2025-08-22 13:11:25;3.4;55.1;91.7
Enrico;2025-08-22 13:11:45;4.2;54.8;91.7
Enrico;2025-08-22 13:12:05;3.5;55.0;91.7
Enrico;2025-08-22 13:12:25;2.7;55.1;91.7
Enrico;2025-08-22 13:12:45;3.3;55.1;91.7
Enrico;2025-08-22 13:13:05;3.4;55.0;91.7
Enrico;2025-08-22 13:13:25;21.4;55.1;91.7
Enrico;2025-08-22 13:13:45;12.2;55.1;91.7
Enrico;2025-08-22 13:14:05;20.4;55.2;91.7
Enrico;2025-08-22 13:14:25;9.0;55.1;91.7
Enrico;2025-08-22 13:14:45;2.7;55.2;91.7
Enrico;2025-08-22 13:15:05;3.0;55.1;91.7
Enrico;2025-08-22 13:15:25;3.7;55.2;91.7
Enrico;2025-08-22 13:15:45;2.5;55.2;91.7
Enrico;2025-08-22 13:16:05;2.5;55.2;91.7
Enrico;2025-08-22 13:16:25;2.8;55.2;91.7
Enrico;2025-08-22 13:16:45;3.5;55.3;91.7
Enrico;2025-08-22 13:23:05;6.3;55.1;91.7
Enrico;2025-08-22 13:23:25;2.9;55.2;91.7
Enrico;2025-08-22 13:23:46;5.7;55.2;91.7
Enrico;2025-08-22 13:24:06;2.2;55.1;91.7
Enrico;2025-08-22 13:24:26;2.2;55.2;91.7
Enrico;2025-08-22 13:24:46;3.6;55.2;91.7
Enrico;2025-08-22 13:25:06;1.6;55.2;91.7
Enrico;2025-08-22 13:25:26;1.8;55.2;91.7
